,I,TRADING,VWAFCASPRICES,1,SETTLEMENTDATE,RUNNO,LOWER5MINVWAPRICE,LOWER5MINVOLUME,LOWER5MINREVENUE,LOWER6SECVWAPRICE,LOWER6SECVOLUME,LOWER6SECREVENUE,LOWER60SECVWAPRICE,LOWER60SECVOLUME,LOWER60SECREVENUE,LOWERREGVWAPRICE,LOWERREGVOLUME,LOWERREGREVENUE,RAISE5MINVWAPRICE,RAISE5MINVOLUME,RAISE5MINREVENUE,RAISE6SECVWAPRICE,RAISE6SECVOLUME,RAISE6SECREVENUE,RAISE60SECVWAPRICE,RAISE60SECVOLUME,RAISE60SECREVENUE,RAISEREGVWAPRICE,RAISEREGVOLUME,RAISEREGREVENUE,LASTCHANGED
16,D,TRADING,VWAFCASPRICES,1.0,2021-10-08 03:00:00,1.0,4.97495,114.80167,571.13287,4.39132,194.06417,852.19853,8.27258,235.3725,1947.13711,17.16218,130.00167,2231.11235,0.75263,238.64083,179.60863,5.84751,370.59917,2167.08105,8.83285,384.44917,3395.78205,21.36605,135.0,2884.41667,2021/10/08 04:05:10
17,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 05:00:00,1.0,0.46024,113.8825,52.41315,0.96682,157.57917,152.35121,3.4,189.1875,643.2375,10.49,105.0,1101.45,0.75,235.54167,176.65625,2.00334,315.84667,632.74798,2.29,315.84833,723.29268,8.97573,110.0,987.33067,2021/10/08 04:05:10
18,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 07:00:00,1.0,0.82792,100.07083,82.85068,1.97024,181.2275,357.06111,3.09607,213.85417,662.10747,11.46275,134.98,1547.24161,0.75769,244.99167,185.62725,7.51823,371.36667,2792.02149,3.85213,387.27333,1491.82785,21.39944,135.00167,2888.96017,2021/10/08 04:05:10
19,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 07:30:00,1.0,0.06134,64.2125,3.93857,4.67096,185.59833,866.92328,4.83568,194.16167,938.90289,17.95166,146.225,2624.98209,0.45049,198.86417,89.5861,2.03794,325.02667,662.38638,3.78492,341.7925,1293.65702,16.756,134.99917,2262.04575,2021/10/08 04:05:10
20,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 10:30:00,1.0,2.53942,109.4775,278.00928,16.39273,197.48583,3237.33122,64.69731,232.09083,15015.65312,58.8296,129.99917,7647.79897,0.13068,148.2025,19.36642,1.54736,279.91167,433.12411,3.18085,298.03417,948.00316,18.95289,135.0,2558.63983,2021/10/08 04:05:10
21,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 12:30:00,1.0,5.49736,116.16,638.57385,8.56152,198.955,1703.35683,63.31186,240.52083,15227.82032,59.46205,130.0,7730.06695,0.07735,140.43667,10.86258,1.67675,280.37833,470.12558,3.84609,297.03833,1142.43621,7.84651,135.0,1059.27883,2021/10/08 04:05:10
22,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 18:30:00,1.0,0.39713,108.73083,43.18073,1.09514,178.77167,195.77937,1.60569,218.20083,350.36318,13.04769,130.0,1696.2,0.75,232.76083,174.57063,7.223,367.97583,2657.8897,6.41459,384.14417,2464.1288,9.78568,149.26,1460.61107,2021/10/08 04:05:10
23,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 23:30:00,1.0,0.57347,112.9775,64.78898,1.18398,189.4675,224.32588,1.15634,231.30333,267.46571,12.36577,130.0,1607.55,0.75511,243.57417,183.92638,2.48561,373.45667,928.26667,3.44731,388.93417,1340.77533,14.84628,135.31083,2008.86308,2021/10/08 04:05:10
24,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 10:00:00,1.0,1.03,90.07083,92.77296,30.72132,197.49333,6067.25671,43.32064,212.69,9213.86734,49.49082,130.0,6433.80665,0.17162,153.785,26.39224,1.59037,279.28667,444.16885,3.68668,304.91667,1124.13006,12.08784,135.0,1631.85833,2021/10/08 04:05:10
25,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 14:30:00,1.0,9.82274,116.21333,1141.53283,3.74604,195.72083,733.17738,26.21001,237.9,6235.36173,35.58795,129.99917,4626.40439,0.55081,191.04,105.22648,11.58533,338.33083,3919.67295,13.28164,354.87833,4713.36797,17.33514,144.89583,2511.78981,2021/10/08 04:05:10
